Sample_ID,Stratification_Group,Diet_Condition,BCAA_Multiplier,Growth_Rate,3MOPLPAMO_Flux
PRISM.7406,Track_B_Dorea_Absent,Baseline_1x,1.0,0.2120567964358542,0.0
PRISM.7406,Track_B_Dorea_Absent,Moderate_2x,2.0,0.2121139377399602,0.0
PRISM.7406,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.2121878235986507,0.0
PRISM.7421,Track A (Dorea Present),Baseline_1x,1.0,0.6145811237180412,0.0389519169417934
PRISM.7421,Track A (Dorea Present),Moderate_2x,2.0,0.6173369779801974,0.0289528323050285
PRISM.7421,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6168269012457179,0.009866294508966
PRISM.7445,Track_B_Dorea_Absent,Baseline_1x,1.0,0.5338419237395778,0.0
PRISM.7445,Track_B_Dorea_Absent,Moderate_2x,2.0,0.533921855482181,0.0
PRISM.7445,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.5336955050973577,0.0
PRISM.7486,Track A (Dorea Present),Baseline_1x,1.0,0.6807706368634094,0.0292304952855327
PRISM.7486,Track A (Dorea Present),Moderate_2x,2.0,0.6739719135015287,0.0070642893018094
PRISM.7486,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6737869451621766,0.0216497227106257
PRISM.7506,Track_B_Dorea_Absent,Baseline_1x,1.0,0.6348004524569264,0.0
PRISM.7506,Track_B_Dorea_Absent,Moderate_2x,2.0,0.6345732612903092,0.0
PRISM.7506,Track_B_Dorea_Absent,High_Overdrive_10x,10.0,0.6353738768306614,0.0
PRISM.7744,Track A (Dorea Present),Baseline_1x,1.0,0.5196678570278153,0.0217320582440815
PRISM.7744,Track A (Dorea Present),Moderate_2x,2.0,0.5194052298808662,0.0130240907177233
PRISM.7744,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5195111138469563,0.0235028458205551
PRISM.7762,Track_A_Dorea_Present,Baseline_1x,1.0,0.7045111415314529,0.04708280175798
PRISM.7762,Track_A_Dorea_Present,Moderate_2x,2.0,0.7038645971254994,0.0463460002433984
PRISM.7762,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.6971185961278391,0.0457853481418034
PRISM.7897,Track A (Dorea Present),Baseline_1x,1.0,0.434889080798063,0.0143082035295905
PRISM.7897,Track A (Dorea Present),Moderate_2x,2.0,0.4348143571266545,0.0143165764174221
PRISM.7897,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4335119758373117,0.0143360771999619
PRISM.7941,Track B (Dorea Absent),Baseline_1x,1.0,0.2173201112114663,0.0
PRISM.7941,Track B (Dorea Absent),Moderate_2x,2.0,0.2165857927207374,0.0
PRISM.7941,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.2200276549616734,0.0
PRISM.7948,Track_A_Dorea_Present,Baseline_1x,1.0,0.5903693953436485,0.0341005606860236
PRISM.7948,Track_A_Dorea_Present,Moderate_2x,2.0,0.5917203585802888,0.0458948677473618
PRISM.7948,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.5910453024385909,0.0465330584066028
PRISM.8095,Track B (Dorea Absent),Baseline_1x,1.0,0.7447168271437931,0.0
PRISM.8095,Track B (Dorea Absent),Moderate_2x,2.0,0.7448748119726329,0.0
PRISM.8095,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.7452736560818845,0.0
PRISM.8096,Track B (Dorea Absent),Baseline_1x,1.0,0.6912525489338582,0.0
PRISM.8096,Track B (Dorea Absent),Moderate_2x,2.0,0.6883909354686132,0.0
PRISM.8096,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.694724080255201,0.0
PRISM.8106,Track B (Dorea Absent),Baseline_1x,1.0,0.2591933293911835,0.0
PRISM.8106,Track B (Dorea Absent),Moderate_2x,2.0,0.2546149599943754,0.0
PRISM.8106,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.2546539559967888,0.0
PRISM.8129,Track_A_Dorea_Present,Baseline_1x,1.0,0.6388582541242122,0.029017156260532
PRISM.8129,Track_A_Dorea_Present,Moderate_2x,2.0,0.6369889267555356,0.0268545527861753
PRISM.8129,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.634111533922786,0.0267385150270137
PRISM.8336,Track B (Dorea Absent),Baseline_1x,1.0,0.3300396235245956,0.0
PRISM.8336,Track B (Dorea Absent),Moderate_2x,2.0,0.3300824259887582,0.0
PRISM.8336,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.3300267955654581,0.0
PRISM.8374,Track B (Dorea Absent),Baseline_1x,1.0,0.5613276521626184,0.0
PRISM.8374,Track B (Dorea Absent),Moderate_2x,2.0,0.561894045117477,0.0
PRISM.8374,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.5612969385083765,0.0
PRISM.8452,Track B (Dorea Absent),Baseline_1x,1.0,0.413825698501438,0.0
PRISM.8452,Track B (Dorea Absent),Moderate_2x,2.0,0.4138582488481941,0.0
PRISM.8452,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.413847989251792,0.0
PRISM.8475,Track A (Dorea Present),Baseline_1x,1.0,0.4867864380881649,0.0344078573758174
PRISM.8475,Track A (Dorea Present),Moderate_2x,2.0,0.4869129892776613,0.0496247731954175
PRISM.8475,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4851748512142702,0.0065655550568956
PRISM.8502,Track B (Dorea Absent),Baseline_1x,1.0,0.4527717317443503,0.0
PRISM.8502,Track B (Dorea Absent),Moderate_2x,2.0,0.4529699716908847,0.0
PRISM.8502,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.4530558355930653,0.0
PRISM.8513,Track A (Dorea Present),Baseline_1x,1.0,0.6714675331892895,0.0388427390440336
PRISM.8513,Track A (Dorea Present),Moderate_2x,2.0,0.6709804762063646,0.0174050954298548
PRISM.8513,Track A (Dorea Present),High_Overdrive_10x,10.0,0.671561954189291,0.0319631846451008
PRISM.8550,Track B (Dorea Absent),Baseline_1x,1.0,0.1655749501797571,0.0
PRISM.8550,Track B (Dorea Absent),Moderate_2x,2.0,0.1655130560199285,0.0
PRISM.8550,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.165758687028485,0.0
PRISM.8564,Track B (Dorea Absent),Baseline_1x,1.0,0.6744201185838699,0.0
PRISM.8564,Track B (Dorea Absent),Moderate_2x,2.0,0.6748313075361696,0.0
PRISM.8564,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.6759238031185661,0.0
PRISM.8573,Track A (Dorea Present),Baseline_1x,1.0,0.4848673904631319,0.0204899991698613
PRISM.8573,Track A (Dorea Present),Moderate_2x,2.0,0.4846177041564276,0.0156491360011538
PRISM.8573,Track A (Dorea Present),High_Overdrive_10x,10.0,0.4845777417062992,0.0156437009804997
PRISM.8592,Track_A_Dorea_Present,Baseline_1x,1.0,0.691193845979909,0.0558302204794449
PRISM.8592,Track_A_Dorea_Present,Moderate_2x,2.0,0.6893161583995797,0.0546299702367407
PRISM.8592,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.6914467824141861,0.0561105014349506
PRISM.8624,Track B (Dorea Absent),Baseline_1x,1.0,0.5351133379893257,0.0
PRISM.8624,Track B (Dorea Absent),Moderate_2x,2.0,0.5351217837511002,0.0
PRISM.8624,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.535197746513655,0.0
PRISM.8667,Track B (Dorea Absent),Baseline_1x,1.0,0.9216664629613524,0.0
PRISM.8667,Track B (Dorea Absent),Moderate_2x,2.0,0.9216454537850176,0.0
PRISM.8667,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216710863496084,0.0
PRISM.8734,Track A (Dorea Present),Baseline_1x,1.0,0.8776421011909421,0.014306663326142
PRISM.8734,Track A (Dorea Present),Moderate_2x,2.0,0.8786214507982303,0.0370656374268768
PRISM.8734,Track A (Dorea Present),High_Overdrive_10x,10.0,0.8776987915336647,0.0283478418363769
PRISM.8758,Track B (Dorea Absent),Baseline_1x,1.0,0.1919658626196933,0.0
PRISM.8758,Track B (Dorea Absent),Moderate_2x,2.0,0.1917745858940479,0.0
PRISM.8758,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.1922454579285263,0.0
PRISM.8795,Track_A_Dorea_Present,Baseline_1x,1.0,0.2488103130947689,0.0275116450563601
PRISM.8795,Track_A_Dorea_Present,Moderate_2x,2.0,0.2478084712321437,0.037789989129251
PRISM.8795,Track_A_Dorea_Present,High_Overdrive_10x,10.0,0.2489616527584298,0.0297713250115156
PRISM.8849,Track B (Dorea Absent),Baseline_1x,1.0,0.3797336747457447,0.0
PRISM.8849,Track B (Dorea Absent),Moderate_2x,2.0,0.3794764674398378,0.0
PRISM.8849,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.3807343554546125,0.0
PRISM.8892,Track_A_Dorea_Present,Baseline_1x,1.0,0.4129151771269381,0.0040885794291382
